size,avg,std
270,7.613,1.925340993
271,7.738,2.049281717
272,7.744,1.947885587
273,7.707,1.94703414
274,7.707,2.107508622
275,7.71,2.070794096
276,7.729,2.106655405
277,7.733,2.173116065
278,7.744,1.978478804
279,7.89,1.941048085
280,7.811,2.107064004
281,7.824,2.20859727
282,7.822,2.127637855
283,7.763,2.067632972
284,7.874,2.066977599
285,7.911,2.197705374
286,7.694,1.921472367
287,7.706,1.909767319
288,7.682,1.89801962
289,7.845,1.901207403
290,7.715,1.887150322
291,7.744,2.002116998
292,7.784,2.013802224
293,7.806,2.084396485
294,7.698,1.972989784
295,7.831,1.989572164
296,7.798,2.002299979
297,7.794,1.979768543
298,7.783,1.998475645
299,7.886,2.038911759
300,7.972,2.024676595
301,7.78,2.059087138
302,7.722,1.837414513
303,7.858,1.915072715
304,7.894,1.927817543
305,7.86,2.002100999
306,7.703,2.009185862
307,7.805,2.007736538
308,7.772,2.001004753
309,7.903,1.995889419
310,7.829,1.951298687
311,7.808,1.981176686
312,8.067,1.964273242
313,7.878,2.082655385
314,7.999,2.030054216
315,7.989,1.996713767
316,7.86,1.975424588
317,7.994,2.028319028
318,7.61,1.799760856
319,7.618,1.71026343
320,7.699,1.761676049
321,7.701,1.816286844
322,7.671,1.87303691
323,7.648,1.812009762
324,7.718,1.803809782
325,7.704,1.743968298
326,7.669,1.792387138
327,7.698,1.792766022
328,7.65,1.706579155
329,7.787,1.892937985
330,7.671,1.865003281
331,7.744,1.88786335
332,7.695,1.822991579
333,7.833,1.853252693
334,7.666,1.694495593
335,7.716,1.742521271
336,7.807,1.861509123
337,7.787,1.846358589
338,7.815,1.805002225
339,7.76,1.728985075
340,7.834,1.859543466
341,7.719,1.910415842
342,7.74,1.743398818
343,7.809,1.865475542
344,7.901,1.821130285
345,7.772,1.894625453
346,7.806,1.784810788
347,7.847,1.895041472
348,7.76,1.91991825
349,7.902,1.929279171
350,7.777,1.596815838
351,7.804,1.704843245
352,7.737,1.724182068
353,7.825,1.721434965
354,7.783,1.788045891
355,7.772,1.80312708
356,7.846,1.819228846
357,7.753,1.754157367
358,7.808,1.710573606
359,7.837,1.712706736
360,7.84,1.750847071
361,7.795,1.982651232
362,7.784,1.855474814
363,7.801,1.810711926
364,7.866,1.862663017
365,7.823,1.87274616
366,7.865,1.631390951
367,7.84,1.703908244
368,7.805,1.711111599
369,7.906,1.880079439
370,7.867,1.744234317
371,7.8,1.87176481
372,8.044,1.781358256
373,7.885,1.859363394
374,7.937,1.788359368
375,7.996,1.761558142
376,7.872,1.783478847
377,7.922,1.818026738
378,7.888,1.681155044
379,7.964,1.833593757
380,8.015,1.816610876
381,7.913,1.786231122
382,8.041,1.890209484
383,7.961,1.924885499
384,8.011,1.991694215
385,8.069,2.012533053
386,8.098,1.965262898
387,8.217,2.0184115
388,8.163,1.983523472
389,8.105,2.083342342
390,8.06,1.897894097
391,8.078,2.043548896
392,7.988,2.062064041
393,8.177,1.981816994
394,8.066,1.953832506
395,8.164,2.051661111
396,8.117,2.103743505
397,8.18,1.975221887
398,8.146,1.892158626
399,8.101,2.029018461
400,8.148,2.056288969
401,8.261,2.071030702
402,8.235,1.926521862
403,8.159,2.091433263
404,8.221,2.063108193
405,8.118,2.098685417
406,8.231,2.058124116
407,8.28,2.123230583
408,8.303,2.001798741
409,8.274,2.077315392
410,8.22,2.019326045
411,8.226,2.020149748
412,8.261,2.093624193
413,8.268,2.224212922
414,8.212,1.867764585
415,8.144,1.884891725
416,8.276,2.038131001
417,8.185,1.988650228
418,8.198,1.904316786
419,8.212,2.013233496
420,8.12,1.985835729
421,8.244,2.094481046
422,8.226,1.931490268
423,8.188,2.024538158
424,8.177,1.985349494
425,8.29,1.946198265
426,8.235,1.933264729
427,8.31,2.101026967
428,8.285,2.075592225
429,8.284,2.123641649
430,8.289,1.920199512
431,8.253,1.990716945
432,8.284,1.932117252
433,8.333,1.969261026
434,8.231,2.009397093
435,8.259,2.022871971
436,8.248,1.985053258
437,8.338,2.024315651
438,8.36,1.842225229
439,8.349,2.027142893
440,8.422,1.996973686
441,8.304,1.974710987
442,8.34,2.001600961
443,8.313,2.05943494
444,8.543,2.090100361
445,8.427,2.03145214
446,8.145,1.775704967
447,8.198,1.836346418
448,8.151,1.85570543
449,8.192,1.85433939
450,8.219,1.882174695
451,8.245,1.974049612
452,8.26,1.81705853
453,8.201,1.798286082
454,8.191,1.86654842
455,8.169,1.826410352
456,8.37,1.887501699
457,8.289,1.974177392
458,8.221,1.815338661
459,8.327,1.902022263
460,8.329,1.806660738
461,8.295,1.857262616
462,8.217,1.815821634
463,8.335,1.931451658
464,8.305,1.826831222
465,8.339,1.887230945
466,8.256,1.936546982
467,8.295,1.868546619
468,8.317,1.884691769
469,8.369,1.950036318
470,8.305,1.971766432
471,8.21,2.030276341
472,8.324,1.852148605
473,8.469,1.897535148
474,8.275,1.987794337
475,8.437,1.948801896
476,8.346,1.891523688
477,8.406,1.98118376
